TENANTID,METRICSUMMARYSEQ,PIPELINERUNSEQ,STAGETYPESEQ,ISACTIVE,STARTTIME,STOPTIME,STATUS,CONTROLLERHOST,INITIALIZERTIME,FINALIZERTIME,REMOVEDATE,ISPOSTED
0001,21110623253299612,20547673299877893,21673573206720543,1,2018-09-30 17:37:35.924000000,2018-09-30 17:37:36.128000000,Successful,,,,2200-01-01 00:00:00.000000000,0
0001,21110623253299613,20547673299877893,21673573206720514,1,2018-09-30 17:37:36.354000000,2018-09-30 17:37:40.926000000,Successful,,,,2200-01-01 00:00:00.000000000,0
0001,21110623253299614,20547673299877893,21673573206720542,1,2018-09-30 17:37:41.653000000,2018-09-30 17:37:41.842000000,Successful,,,,2200-01-01 00:00:00.000000000,0
0001,21110623253299615,20547673299877893,21673573206720515,0,2018-09-30 17:37:42.468000000,2018-09-30 17:37:42.833000000,Successful,,,,2018-10-04 03:43:57.376000000,0
0001,21110623253299616,20547673299877893,21673573206720541,1,2018-09-30 17:37:44.227000000,2018-09-30 17:37:44.419000000,Successful,,,,2200-01-01 00:00:00.000000000,0
0001,21110623253299617,20547673299877893,21673573206720538,1,2018-09-30 17:37:44.644000000,2018-09-30 17:37:44.828000000,Successful,,,,2200-01-01 00:00:00.000000000,0
0001,21110623253299618,20547673299877893,21673573206720516,0,2018-09-30 17:37:45.046000000,2018-09-30 17:37:47.384000000,Successful,,,,2018-10-04 03:43:57.376000000,0
0001,21110623253299619,20547673299877893,21673573206720561,1,2018-09-30 17:37:47.586000000,2018-09-30 17:37:47.829000000,Successful,,,,2200-01-01 00:00:00.000000000,0
0001,21110623253299620,20547673299877893,21673573206720562,1,2018-09-30 17:37:48.736000000,2018-09-30 17:37:48.968000000,Successful,,,,2200-01-01 00:00:00.000000000,0
0001,21110623253299621,20547673299877893,21673573206720547,1,2018-09-30 17:37:49.876000000,2018-09-30 17:37:50.104000000,Successful,,,,2200-01-01 00:00:00.000000000,0
0001,21110623253299622,20547673299877893,21673573206720517,0,2018-09-30 17:37:50.726000000,2018-09-30 17:37:57.226000000,Successful,,,,2018-10-04 03:43:57.376000000,0
0001,21110623253299623,20547673299877893,21673573206720551,1,2018-09-30 17:37:57.955000000,2018-09-30 17:37:58.290000000,Successful,,,,2200-01-01 00:00:00.000000000,0
0001,21110623253299624,20547673299877893,21673573206720518,0,2018-09-30 17:38:00.024000000,2018-09-30 17:38:00.369000000,Successful,,,,2018-10-04 03:43:57.376000000,0
0001,21110623253299625,20547673299877893,21673573206720545,1,2018-09-30 17:38:05.345000000,2018-09-30 17:38:05.568000000,Successful,,,,2200-01-01 00:00:00.000000000,0
0001,21110623253299626,20547673299877893,21673573206720519,0,2018-09-30 17:38:06.293000000,2018-09-30 17:38:07.176000000,Successful,,,,2018-10-04 03:43:57.376000000,0
0001,21110623253299627,20547673299877893,21673573206720527,1,2018-09-30 17:38:11.369000000,2018-09-30 17:38:11.646000000,Successful,,,,2200-01-01 00:00:00.000000000,0
0001,21110623253299742,20547673299877894,21673573206720514,1,2018-10-03 18:44:39.528000000,2018-10-03 18:44:43.927000000,Successful,,,,2200-01-01 00:00:00.000000000,0
0001,21110623253299743,20547673299877894,21673573206720542,1,2018-10-03 18:44:44.652000000,2018-10-03 18:44:44.873000000,Successful,,,,2200-01-01 00:00:00.000000000,0
0001,21110623253299744,20547673299877894,21673573206720515,0,2018-10-03 18:44:44.995000000,2018-10-03 18:44:45.336000000,Successful,,,,2019-01-22 03:43:28.867000000,0
0001,21110623253299745,20547673299877894,21673573206720541,1,2018-10-03 18:44:46.849000000,2018-10-03 18:44:47.037000000,Successful,,,,2200-01-01 00:00:00.000000000,0
0001,21110623253299746,20547673299877894,21673573206720538,1,2018-10-03 18:44:47.766000000,2018-10-03 18:44:47.950000000,Successful,,,,2200-01-01 00:00:00.000000000,0
0001,21110623253299747,20547673299877894,21673573206720516,0,2018-10-03 18:44:48.672000000,2018-10-03 18:44:50.938000000,Successful,,,,2019-01-22 03:43:28.867000000,0
0001,21110623253299748,20547673299877894,21673573206720561,1,2018-10-03 18:44:51.149000000,2018-10-03 18:44:51.385000000,Successful,,,,2200-01-01 00:00:00.000000000,0
0001,21110623253299749,20547673299877894,21673573206720562,1,2018-10-03 18:44:52.290000000,2018-10-03 18:44:52.518000000,Successful,,,,2200-01-01 00:00:00.000000000,0
0001,21110623253299750,20547673299877894,21673573206720547,1,2018-10-03 18:44:53.425000000,2018-10-03 18:44:53.612000000,Successful,,,,2200-01-01 00:00:00.000000000,0
0001,21110623253299751,20547673299877894,21673573206720517,0,2018-10-03 18:44:54.234000000,2018-10-03 18:45:00.882000000,Successful,,,,2019-01-22 03:43:28.867000000,0
0001,21110623253299752,20547673299877894,21673573206720551,1,2018-10-03 18:45:01.104000000,2018-10-03 18:45:01.423000000,Successful,,,,2200-01-01 00:00:00.000000000,0
0001,21110623253299753,20547673299877894,21673573206720518,0,2018-10-03 18:45:03.160000000,2018-10-03 18:45:03.525000000,Successful,,,,2019-01-22 03:43:28.867000000,0
0001,21110623253299754,20547673299877894,21673573206720545,1,2018-10-03 18:45:08.501000000,2018-10-03 18:45:08.686000000,Successful,,,,2200-01-01 00:00:00.000000000,0
0001,21110623253299755,20547673299877894,21673573206720519,0,2018-10-03 18:45:08.909000000,2018-10-03 18:45:09.763000000,Successful,,,,2019-01-22 03:43:28.867000000,0
0001,21110623253299756,20547673299877894,21673573206720527,1,2018-10-03 18:45:13.949000000,2018-10-03 18:45:14.216000000,Successful,,,,2200-01-01 00:00:00.000000000,0
0001,21110623253299739,20547673299877894,21673573206720546,1,2018-10-03 18:44:31.487000000,2018-10-03 18:44:35.218000000,Successful,,,,2200-01-01 00:00:00.000000000,0
0001,21110623253299740,20547673299877894,21673573206720513,1,2018-10-03 18:44:36.214000000,2018-10-03 18:44:37.889000000,Successful,,,,2200-01-01 00:00:00.000000000,0
0001,21110623253299741,20547673299877894,21673573206720543,1,2018-10-03 18:44:38.614000000,2018-10-03 18:44:38.799000000,Successful,,,,2200-01-01 00:00:00.000000000,0
0001,21110623253299868,20547673299877895,21673573206720546,1,2019-01-22 03:43:29.040000000,2019-01-22 03:43:33.176000000,Successful,,,,2200-01-01 00:00:00.000000000,0
0001,21110623253299869,20547673299877895,21673573206720513,1,2019-01-22 03:43:34.138000000,2019-01-22 03:43:36.100000000,Successful,,,,2200-01-01 00:00:00.000000000,0
0001,21110623253299870,20547673299877895,21673573206720543,1,2019-01-22 03:43:36.829000000,2019-01-22 03:43:37.040000000,Successful,,,,2200-01-01 00:00:00.000000000,0
0001,21110623253299871,20547673299877895,21673573206720514,1,2019-01-22 03:43:37.767000000,2019-01-22 03:43:42.214000000,Successful,,,,2200-01-01 00:00:00.000000000,0
0001,21110623253299872,20547673299877895,21673573206720542,1,2019-01-22 03:43:42.942000000,2019-01-22 03:43:43.170000000,Successful,,,,2200-01-01 00:00:00.000000000,0
0001,21110623253299873,20547673299877895,21673573206720515,1,2019-01-22 03:43:43.894000000,2019-01-22 03:43:44.303000000,Successful,,,,2200-01-01 00:00:00.000000000,0
0001,21110623253299874,20547673299877895,21673573206720541,1,2019-01-22 03:43:45.801000000,2019-01-22 03:43:46.000000000,Successful,,,,2200-01-01 00:00:00.000000000,0
0001,21110623253299875,20547673299877895,21673573206720538,1,2019-01-22 03:43:46.726000000,2019-01-22 03:43:46.917000000,Successful,,,,2200-01-01 00:00:00.000000000,0
0001,21110623253299876,20547673299877895,21673573206720516,1,2019-01-22 03:43:47.142000000,2019-01-22 03:43:50.008000000,Successful,,,,2200-01-01 00:00:00.000000000,0
0001,21110623253299877,20547673299877895,21673573206720561,1,2019-01-22 03:43:50.142000000,2019-01-22 03:43:50.400000000,Successful,,,,2200-01-01 00:00:00.000000000,0
0001,21110623253299878,20547673299877895,21673573206720562,1,2019-01-22 03:43:51.397000000,2019-01-22 03:43:51.642000000,Successful,,,,2200-01-01 00:00:00.000000000,0
0001,21110623253299879,20547673299877895,21673573206720547,1,2019-01-22 03:43:52.541000000,2019-01-22 03:43:52.731000000,Successful,,,,2200-01-01 00:00:00.000000000,0
0001,21110623253299880,20547673299877895,21673573206720517,1,2019-01-22 03:43:52.953000000,2019-01-22 03:44:00.411000000,Successful,,,,2200-01-01 00:00:00.000000000,0
0001,21110623253299881,20547673299877895,21673573206720551,1,2019-01-22 03:44:01.135000000,2019-01-22 03:44:01.633000000,Successful,,,,2200-01-01 00:00:00.000000000,0
0001,21110623253299882,20547673299877895,21673573206720518,1,2019-01-22 03:44:03.248000000,2019-01-22 03:44:03.625000000,Successful,,,,2200-01-01 00:00:00.000000000,0
0001,21110623253299883,20547673299877895,21673573206720545,1,2019-01-22 03:44:08.886000000,2019-01-22 03:44:09.071000000,Successful,,,,2200-01-01 00:00:00.000000000,0
0001,21110623253299884,20547673299877895,21673573206720519,1,2019-01-22 03:44:09.793000000,2019-01-22 03:44:10.703000000,Successful,,,,2200-01-01 00:00:00.000000000,0
0001,21110623253299885,20547673299877895,21673573206720527,1,2019-01-22 03:44:15.124000000,2019-01-22 03:44:15.404000000,Successful,,,,2200-01-01 00:00:00.000000000,0
0001,21110623253299886,20547673299877895,21673573206720698,1,2019-01-22 03:44:16.028000000,2019-01-22 03:45:05.135000000,Successful,,,,2200-01-01 00:00:00.000000000,0
0001,21110623253299887,20547673299877895,21673573206720701,1,2019-01-22 03:45:08.679000000,2019-01-22 03:45:09.364000000,Failed,,,,2200-01-01 00:00:00.000000000,0
